"GSM1523830_INT201201-10-1_431T_HG-U133_Plus_2_.CEL",3
"GSM1523831_INT201201-10-1_432T_HG-U133_Plus_2_.CEL",5
"GSM1523832_INT201201-10-1_433T_HG-U133_Plus_2_.CEL",1
"GSM1523833_INT201201-10-1_437T_HG-U133_Plus_2_.CEL",4
"GSM1523834_INT201201-10-1_438T_HG-U133_Plus_2_.CEL",3
"GSM1523835_INT201201-10-1_440T_HG-U133_Plus_2_.CEL",3
"GSM1523836_INT201201-10-1_441T-2_HG-U133_Plus_2_.CEL",5
"GSM1523837_INT201201-10-1_442T_HG-U133_Plus_2_.CEL",4
"GSM1523838_INT201201-10-1_443T_HG-U133_Plus_2_.CEL",3
"GSM1523839_INT201201-10-1_444T_HG-U133_Plus_2_.CEL",1
"GSM1523840_INT201201-10-1_445T_HG-U133_Plus_2_.CEL",4
"GSM1523841_INT201201-10-1_446T_HG-U133_Plus_2_.CEL",1
"GSM1523842_INT201201-10-1_447T_HG-U133_Plus_2_.CEL",1
"GSM1523843_INT201201-10-1_448T_HG-U133_Plus_2_.CEL",3
"GSM1523844_INT201201-10-1_450T_HG-U133_Plus_2_.CEL",5
"GSM1523845_INT201201-10-1_451T_HG-U133_Plus_2_.CEL",1
"GSM1523846_INT201201-10-1_455T_HG-U133_Plus_2_.CEL",4
"GSM1523847_INT201201-10-1_456T_HG-U133_Plus_2_.CEL",3
"GSM1523848_INT201201-10-1_457T_HG-U133_Plus_2_.CEL",3
"GSM1523849_INT201201-10-1_459T_HG-U133_Plus_2_.CEL",2
"GSM1523850_INT201201-10-1_460T_HG-U133_Plus_2_.CEL",2
"GSM1523851_INT201201-10-1_465T_HG-U133_Plus_2_.CEL",1
"GSM1523852_INT201201-10-1_469T_HG-U133_Plus_2_.CEL",2
"GSM1523853_INT201201-10-1_470T_HG-U133_Plus_2_.CEL",1
"GSM1523854_INT201201-10-1_471T_HG-U133_Plus_2_.CEL",1
"GSM1523855_INT201201-10-1_476T_HG-U133_Plus_2_.CEL",1
"GSM1523856_INT201201-10-1_477T_HG-U133_Plus_2_.CEL",4
"GSM1523857_INT201201-10-1_480T_HG-U133_Plus_2_.CEL",1
"GSM1523858_INT201201-10-1_482T_HG-U133_Plus_2_.CEL",4
"GSM1523859_INT201201-10-1_483T_HG-U133_Plus_2_.CEL",4
"GSM1523860_INT201201-10-1_485T_HG-U133_Plus_2_.CEL",4
"GSM1523861_INT201201-10-1_488T_HG-U133_Plus_2_.CEL",2
"GSM1523862_INT201201-10-1_489T_HG-U133_Plus_2_.CEL",1
"GSM1523863_INT201201-10-1_493T_HG-U133_Plus_2_.CEL",4
"GSM1523864_INT201201-10-1_501T_HG-U133_Plus_2_.CEL",3
"GSM1523865_INT201201-10-1_502T_HG-U133_Plus_2_.CEL",1
"GSM1523866_INT201201-10-1_503T_HG-U133_Plus_2_.CEL",2
"GSM1523867_INT201201-10-1_505T_HG-U133_Plus_2_.CEL",4
"GSM1523868_INT201201-10-1_510T_HG-U133_Plus_2_.CEL",1
"GSM1523869_INT201201-10-1_514T_HG-U133_Plus_2_.CEL",4
"GSM1523870_INT201201-10-1_516T_HG-U133_Plus_2_.CEL",2
"GSM1523871_INT201201-10-1_517T_HG-U133_Plus_2_.CEL",3
"GSM1523872_INT201201-10-1_518T_HG-U133_Plus_2_.CEL",3
"GSM1523873_INT201201-10-1_519T_HG-U133_Plus_2_.CEL",4
"GSM1523874_INT201201-10-1_520T_HG-U133_Plus_2_.CEL",5
"GSM1523875_INT201201-10-1_522T_HG-U133_Plus_2_.CEL",2
"GSM1523876_INT201201-10-1_523T_HG-U133_Plus_2_.CEL",4
"GSM1523877_INT201201-10-1_524T_HG-U133_Plus_2_.CEL",2
"GSM1523878_INT201201-10-1_525T_HG-U133_Plus_2_.CEL",1
"GSM1523879_INT201201-10-1_528T_HG-U133_Plus_2_.CEL",3
"GSM1523880_INT201201-10-1_529T_HG-U133_Plus_2_.CEL",4
"GSM1523881_INT201201-10-1_532T_HG-U133_Plus_2_.CEL",1
"GSM1523882_INT201201-10-1_533T_HG-U133_Plus_2_.CEL",1
"GSM1523883_INT201201-10-1_534T_HG-U133_Plus_2_.CEL",4
"GSM1523884_INT201201-10-1_538T_HG-U133_Plus_2_.CEL",5
"GSM1523885_INT201201-10-1_540T_HG-U133_Plus_2_.CEL",5
"GSM1523886_INT201201-10-1_541T_HG-U133_Plus_2_.CEL",2
"GSM1523887_INT201201-10-1_542T_HG-U133_Plus_2_.CEL",1
"GSM1523888_INT201201-10-1_544T_HG-U133_Plus_2_.CEL",1
"GSM1523889_INT201201-10-1_547T_HG-U133_Plus_2_.CEL",4
"GSM1523890_INT201201-10-1_550T_HG-U133_Plus_2_.CEL",4
"GSM1523891_INT201201-10-1_551T_HG-U133_Plus_2_.CEL",1
"GSM1523892_INT201201-10-1_553T_HG-U133_Plus_2_.CEL",4
"GSM1523893_INT201201-10-1_554T_HG-U133_Plus_2_.CEL",5
"GSM1523894_INT201201-10-1_556T_HG-U133_Plus_2_.CEL",5
"GSM1523895_INT201201-10-1_557T_HG-U133_Plus_2_.CEL",2
"GSM1523896_INT201201-10-1_559T_HG-U133_Plus_2_.CEL",1
"GSM1523897_INT201201-10-1_560T_HG-U133_Plus_2_.CEL",3
"GSM1523898_INT201201-10-1_561T_HG-U133_Plus_2_.CEL",4
"GSM1523899_INT201201-10-1_566T_HG-U133_Plus_2_.CEL",2
"GSM1523901_INT201201-10-1_571T_HG-U133_Plus_2_.CEL",3
"GSM1523903_INT201201-10-1_584T_HG-U133_Plus_2_.CEL",1
"GSM1523904_INT201201-10-1_586T_HG-U133_Plus_2_.CEL",2
"GSM1523905_INT201201-10-1_588T_HG-U133_Plus_2_.CEL",3
"GSM1523906_INT201201-10-1_589T_HG-U133_Plus_2_.CEL",4
"GSM1523908_INT201201-10-1_592T_HG-U133_Plus_2_.CEL",2
"GSM1523909_INT201201-10-1_595T_HG-U133_Plus_2_.CEL",4
"GSM1523910_INT201201-10-1_596T_HG-U133_Plus_2_.CEL",1
"GSM1523911_INT201201-10-1_603T_HG-U133_Plus_2_.CEL",1
"GSM1523918_INT201201-4-1_Tr-207-2_HG-U133_Plus_2_.CEL",1
"GSM1523919_INT201201-4-1_Tr_101_HG-U133_Plus_2_.CEL",4
"GSM1523920_INT201201-4-1_Tr_105_HG-U133_Plus_2_.CEL",1
"GSM1523921_INT201201-4-1_Tr_106_HG-U133_Plus_2_.CEL",1
"GSM1523922_INT201201-4-1_Tr_112_HG-U133_Plus_2_.CEL",3
"GSM1523923_INT201201-4-1_Tr_113_HG-U133_Plus_2_.CEL",1
"GSM1523924_INT201201-4-1_Tr_114_HG-U133_Plus_2_.CEL",5
"GSM1523925_INT201201-4-1_Tr_115_HG-U133_Plus_2_.CEL",4
"GSM1523926_INT201201-4-1_Tr_116_HG-U133_Plus_2_.CEL",4
"GSM1523927_INT201201-4-1_Tr_117_HG-U133_Plus_2_.CEL",3
"GSM1523928_INT201201-4-1_Tr_118_HG-U133_Plus_2_.CEL",3
"GSM1523929_INT201201-4-1_Tr_11_HG-U133_Plus_2_.CEL",2
"GSM1523930_INT201201-4-1_Tr_121_HG-U133_Plus_2_.CEL",4
"GSM1523931_INT201201-4-1_Tr_124_HG-U133_Plus_2_.CEL",2
"GSM1523932_INT201201-4-1_Tr_128_HG-U133_Plus_2_.CEL",5
"GSM1523933_INT201201-4-1_Tr_129_HG-U133_Plus_2_.CEL",5
"GSM1523934_INT201201-4-1_Tr_12_HG-U133_Plus_2_.CEL",4
"GSM1523935_INT201201-4-1_Tr_132_HG-U133_Plus_2_.CEL",4
"GSM1523936_INT201201-4-1_Tr_133_HG-U133_Plus_2_.CEL",1
"GSM1523937_INT201201-4-1_Tr_134_HG-U133_Plus_2_.CEL",2
"GSM1523938_INT201201-4-1_Tr_135_HG-U133_Plus_2_.CEL",4
"GSM1523939_INT201201-4-1_Tr_136_HG-U133_Plus_2_.CEL",1
"GSM1523940_INT201201-4-1_Tr_137_HG-U133_Plus_2_.CEL",2
"GSM1523941_INT201201-4-1_Tr_138_HG-U133_Plus_2_.CEL",5
"GSM1523942_INT201201-4-1_Tr_139_HG-U133_Plus_2_.CEL",1
"GSM1523943_INT201201-4-1_Tr_140_HG-U133_Plus_2_.CEL",2
"GSM1523944_INT201201-4-1_Tr_141_HG-U133_Plus_2_.CEL",5
"GSM1523945_INT201201-4-1_Tr_142_HG-U133_Plus_2_.CEL",1
"GSM1523946_INT201201-4-1_Tr_143_HG-U133_Plus_2_.CEL",4
"GSM1523947_INT201201-4-1_Tr_144_HG-U133_Plus_2_.CEL",5
"GSM1523948_INT201201-4-1_Tr_145_HG-U133_Plus_2_.CEL",5
"GSM1523949_INT201201-4-1_Tr_146_HG-U133_Plus_2_.CEL",4
"GSM1523950_INT201201-4-1_Tr_148_HG-U133_Plus_2_.CEL",2
"GSM1523951_INT201201-4-1_Tr_14_HG-U133_Plus_2_.CEL",3
"GSM1523952_INT201201-4-1_Tr_150_HG-U133_Plus_2_.CEL",1
"GSM1523953_INT201201-4-1_Tr_151_HG-U133_Plus_2_.CEL",3
"GSM1523954_INT201201-4-1_Tr_152_HG-U133_Plus_2_.CEL",2
"GSM1523955_INT201201-4-1_Tr_154_HG-U133_Plus_2_.CEL",4
"GSM1523956_INT201201-4-1_Tr_155_HG-U133_Plus_2_.CEL",3
"GSM1523957_INT201201-4-1_Tr_156_HG-U133_Plus_2_.CEL",1
"GSM1523958_INT201201-4-1_Tr_157_HG-U133_Plus_2_.CEL",3
"GSM1523959_INT201201-4-1_Tr_16_HG-U133_Plus_2_.CEL",3
"GSM1523960_INT201201-4-1_Tr_171_HG-U133_Plus_2_.CEL",1
"GSM1523961_INT201201-4-1_Tr_172_HG-U133_Plus_2_.CEL",5
"GSM1523962_INT201201-4-1_Tr_173_HG-U133_Plus_2_.CEL",4
"GSM1523963_INT201201-4-1_Tr_175_HG-U133_Plus_2_.CEL",3
"GSM1523964_INT201201-4-1_Tr_177_HG-U133_Plus_2_.CEL",5
"GSM1523965_INT201201-4-1_Tr_17_HG-U133_Plus_2_.CEL",3
"GSM1523966_INT201201-4-1_Tr_180_HG-U133_Plus_2_.CEL",3
"GSM1523967_INT201201-4-1_Tr_182_HG-U133_Plus_2_.CEL",4
"GSM1523968_INT201201-4-1_Tr_185_HG-U133_Plus_2_.CEL",5
"GSM1523969_INT201201-4-1_Tr_186_HG-U133_Plus_2_.CEL",4
"GSM1523970_INT201201-4-1_Tr_187_HG-U133_Plus_2_.CEL",3
"GSM1523971_INT201201-4-1_Tr_188_HG-U133_Plus_2_.CEL",1
"GSM1523972_INT201201-4-1_Tr_189_HG-U133_Plus_2_.CEL",1
"GSM1523973_INT201201-4-1_Tr_18_HG-U133_Plus_2_.CEL",3
"GSM1523974_INT201201-4-1_Tr_190_HG-U133_Plus_2_.CEL",4
